date,USD_EUR,USD_RUB,TRY_per_USD,USD_ZAR,TRY_EUR,TRY_RUB,TRY_ZAR
2009-02-02,0.78064,36.263,1.6445,10.0645,2.106604837056774,0.04534925406061275,0.16339609518604997
2009-02-09,0.77435,35.267,1.6349,9.863,2.1113191709175436,0.046357784898063345,0.16576092466795095
2009-02-16,0.79001,35.93,1.6865,10.1207,2.134783104011342,0.04693849151127192,0.16663867123815548
2009-02-23,0.78394,35.869,1.6929,10.0045,2.159476490547746,0.04719674370626446,0.1692138537658054
2009-03-02,0.7939,36.034,1.7464,10.4752,2.199773271192845,0.04846533829161347,0.16671758057125402
2009-03-09,0.78345,35.105,1.7561,10.2547,2.2414959474120875,0.05002421307506054,0.17124830565496796
2009-03-16,0.75375,34.102,1.6968,9.7828,2.251144278606965,0.049756612515394996,0.1734472748088482
2009-03-23,0.74118,33.512,1.6646,9.479,2.2458781942308215,0.04967175936977799,0.1756092414811689
2009-03-30,0.75115,33.72,1.6444,9.4092,2.1891765958863076,0.04876631079478055,0.1747651234961527
2009-04-06,0.75109,33.498,1.5895,9.1133,2.116257705468053,0.047450594065317334,0.17441541483326564
2009-04-13,0.75896,33.423,1.5982,9.0534,2.10577632549805,0.04781737127128025,0.1765303642830318
2009-04-20,0.76775,33.759,1.6398,8.9893,2.135851514164767,0.04857371367635297,0.18241687339392387
2009-04-27,0.75965,33.297,1.6138,8.6603,2.1243993944579738,0.04846682884343935,0.1863445839058693
2009-05-04,0.74923,32.759,1.5633,8.3815,2.0865421833081963,0.04772123691199365,0.18651792638549183
2009-05-11,0.73573,32.167,1.5659,8.5058,2.1283623068245143,0.04868032455622222,0.18409790966164263
2009-05-18,0.7295,31.646,1.5398,8.4507,2.1107607950651133,0.048657018264551606,0.18220975777154558
2009-05-25,0.71659,31.134,1.5584,8.2107,2.1747442749689503,0.05005460268516734,0.18980111318158016
2009-06-01,0.70487,30.724,1.5347,8.0391,2.1772809170485337,0.04995117823200104,0.1909044544787352
2009-06-08,0.71531,31.086,1.5462,8.0887,2.1615802938586066,0.049739432541980315,0.19115556269857953
2009-06-15,0.72015,31.214,1.5542,8.0768,2.158161494133167,0.04979176010764401,0.1924276941362916
2009-06-22,0.71531,31.266,1.5559,8.078,2.1751408480239336,0.04976332117955607,0.19260955682099531
2009-06-29,0.71078,31.16,1.5319,7.7944,2.15523790765075,0.049162387676508344,0.19653854049060865
2009-07-06,0.71726,31.835,1.5495,8.0905,2.160304492094917,0.04867284435369876,0.19152091959705828
