date,product,min_price,max_price,avg_price,unit,market
2025-03-14,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-14,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-14,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-14,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-15,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-15,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-15,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-15,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-17,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-17,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-17,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-17,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-18,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-18,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-18,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-18,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-19,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-19,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-19,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-19,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-20,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-20,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-20,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-20,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-21,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-21,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-21,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-21,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-22,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-22,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-22,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-22,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-24,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-24,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-24,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-24,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-25,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-25,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-25,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-25,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-26,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-26,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-26,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-26,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-27,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-27,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-27,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-27,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-28,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-28,Limon,15.0,30.0,22.5,Kg,antalya
2025-03-28,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-28,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-29,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-29,Limon,15.0,40.0,27.5,Kg,antalya
2025-03-29,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-29,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-31,Greyfurt,25.0,50.0,37.5,Kg,antalya
2025-03-31,Lime Limon,120.0,260.0,190.0,Kg,antalya
2025-03-31,Limon,40.0,75.0,57.5,Kg,antalya
2025-03-31,Portakal (Sıkmalık),10.0,25.0,17.5,Kg,antalya
2025-03-31,Portakal (Valencia Pak),15.0,30.0,22.5,Kg,antalya
2025-04-01,Greyfurt,25.0,50.0,37.5,Kg,antalya
2025-04-01,Lime Limon,120.0,260.0,190.0,Kg,antalya
2025-04-01,Limon,40.0,75.0,57.5,Kg,antalya
2025-04-01,Portakal (Sıkmalık),10.0,25.0,17.5,Kg,antalya
2025-04-01,Portakal (Valencia Pak),15.0,30.0,22.5,Kg,antalya
2025-04-02,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-02,Limon,15.0,40.0,27.5,Kg,antalya
2025-04-02,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-02,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-03,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-03,Limon,15.0,40.0,27.5,Kg,antalya
2025-04-03,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-03,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-04,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-04,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-04,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-04,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-05,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-05,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-05,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
